"yr","region","codsp","codgr","fl","source"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",64,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",65,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",66,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",67,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",68,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",69,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",70,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",71,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",72,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",73,"ICCAT"
