"year","species","catch","type"
1990,"LTA",685,"ICCAT"
1990,"WAH",52,"ICCAT"
1991,"BLF",130,"ICCAT"
1991,"BLT",0,"ICCAT"
1991,"BON",71,"ICCAT"
1991,"BRS",1437,"ICCAT"
1991,"DOL",0,"ICCAT"
1991,"FRI",746,"ICCAT"
1991,"KGM",962,"ICCAT"
1991,"LTA",779,"ICCAT"
1991,"WAH",64,"ICCAT"
1992,"BLF",49,"ICCAT"
1992,"BLT",0,"ICCAT"
1992,"BON",86,"ICCAT"
1992,"BRS",1149,"ICCAT"
1992,"DOL",0,"ICCAT"
1992,"FRI",291,"ICCAT"
1992,"KGM",979,"ICCAT"
1992,"LTA",935,"ICCAT"
1992,"WAH",71.1,"ICCAT"
1993,"BLF",22,"ICCAT"
1993,"BLT",0,"ICCAT"
1993,"BON",142,"ICCAT"
1993,"BRS",842,"ICCAT"
1993,"DOL",0,"ICCAT"
1993,"FRI",608,"ICCAT"
1993,"KGM",1380,"ICCAT"
1993,"LTA",985,"ICCAT"
1993,"WAH",33,"ICCAT"
1994,"BLF",37.6,"ICCAT"
1994,"BLT",0,"ICCAT"
1994,"BON",142,"ICCAT"
1994,"BRS",1149,"ICCAT"
1994,"DOL",0,"ICCAT"
1994,"FRI",906,"ICCAT"
1994,"KGM",1365,"ICCAT"
1994,"LTA",1225,"ICCAT"
1994,"WAH",26.2,"ICCAT"
1995,"BLF",153,"ICCAT"
1995,"BLT",0,"ICCAT"
1995,"BON",137,"ICCAT"
1995,"BRS",1308,"ICCAT"
1995,"DOL",0,"ICCAT"
1995,"FRI",558,"ICCAT"
1995,"KGM",1328,"ICCAT"
1995,"LTA",1059,"ICCAT"
1995,"WAH",1,"ICCAT"
1996,"BLF",649,"ICCAT"
1996,"BLT",0,"ICCAT"
1996,"BON",0,"ICCAT"
1996,"BRS",3047,"ICCAT"
1996,"DOL",0,"ICCAT"
1996,"FRI",527,"ICCAT"
1996,"KGM",2890.1,"ICCAT"
1996,"LTA",834,"ICCAT"
1996,"WAH",16.3,"ICCAT"
1997,"BLF",418,"ICCAT"
1997,"BLT",0,"ICCAT"
1997,"BON",0,"ICCAT"
1997,"BRS",2125,"ICCAT"
1997,"DOL",0,"ICCAT"
1997,"FRI",215,"ICCAT"
1997,"KGM",2398,"ICCAT"
1997,"LTA",507,"ICCAT"
1997,"WAH",58,"ICCAT"
1998,"BLF",55,"ICCAT"
1998,"BLT",0,"ICCAT"
1998,"BON",0,"ICCAT"
1998,"BRS",1516,"ICCAT"
1998,"DOL",0,"ICCAT"
1998,"FRI",162,"ICCAT"
1998,"KGM",3595,"ICCAT"
1998,"LTA",920,"ICCAT"
1998,"WAH",41.2,"ICCAT"
1999,"BLF",55,"ICCAT"
1999,"BLT",0,"ICCAT"
1999,"BON",0,"ICCAT"
1999,"BRS",1516,"ICCAT"
1999,"DOL",0,"ICCAT"
1999,"FRI",166,"ICCAT"
1999,"KGM",3595,"ICCAT"
1999,"LTA",930,"ICCAT"
1999,"WAH",0,"ICCAT"
2000,"BLF",38,"ICCAT"
2000,"BLT",0,"ICCAT"
2000,"BON",0,"ICCAT"
2000,"BRS",988,"ICCAT"
2000,"DOL",0,"ICCAT"
2000,"FRI",106,"ICCAT"
2000,"KGM",2344,"ICCAT"
2000,"LTA",615,"ICCAT"
2000,"WAH",0,"ICCAT"
2001,"BLF",148.5,"ICCAT"
2001,"BLT",0,"ICCAT"
2001,"BON",0,"ICCAT"
2001,"BRS",250.8,"ICCAT"
2001,"DOL",0,"ICCAT"
2001,"FRI",97.7,"ICCAT"
2001,"KGM",1251.2,"ICCAT"
2001,"LTA",615,"ICCAT"
2001,"WAH",0,"ICCAT"
2002,"BLF",1669.2,"ICCAT"
2002,"BLT",0,"ICCAT"
2002,"BON",0,"ICCAT"
2002,"BRS",3070.8,"ICCAT"
2002,"DOL",0,"ICCAT"
2002,"FRI",1117.11,"ICCAT"
2002,"KGM",2315.8,"ICCAT"
2002,"LTA",615,"ICCAT"
2002,"WAH",0.159,"ICCAT"
2003,"BLF",1.2,"ICCAT"
2003,"BLT",0,"ICCAT"
2003,"BON",0,"ICCAT"
2003,"BRS",2881.2,"ICCAT"
2003,"DOL",2.04,"ICCAT"
2003,"FRI",860.4,"ICCAT"
2003,"KGM",3311,"ICCAT"
2003,"LTA",0,"ICCAT"
2003,"WAH",404.604,"ICCAT"
2004,"BLF",118,"ICCAT"
2004,"BLT",0,"ICCAT"
2004,"BON",0,"ICCAT"
2004,"BRS",813.852,"ICCAT"
2004,"DOL",2159.0223,"ICCAT"
